# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
cai ce 	猜測	c=2 d=0.0500366 t=25120
cai dan 	菜單	c=1 d=0.000169103 t=25120
cai du 	才度	c=2 d=5.23113e-25 t=25120
cai dui 	纔對	c=2 d=9.4942e-08 t=25120
cai fang 	採訪	c=2 d=0.000223746 t=25120
cai liao 	材料	c=1 d=3.4753e-08 t=25120
cai ming 	菜名	c=2 d=1.46081e-09 t=25120
cai neng 	才能	c=2 d=5.0243e-21 t=25120
cai pan 	裁判	c=7 d=0.0345717 t=25120
cai piao 	彩票	c=4 d=1.15105e-16 t=25120
cai shi 	纔是	c=10 d=0.13332 t=25120
cai wu 	財務	c=1 d=3.01297e-05 t=25120
cai xin 	財新	c=3 d=4.25787e-07 t=25120
cai you 	纔有	c=2 d=0.97531 t=25120
can 	慘	c=1 d=2.03427e-31 t=25120
can 	餐	c=3 d=9.16709e-49 t=25120
can dou 	蠶豆	c=1 d=1.54329e-46 t=25120
can kao 	參考	c=9 d=0.0014118 t=25120
can kao xia 	參考下	c=1 d=1.85659e-44 t=25120
can shu 	參數	c=1 d=8.72945e-20 t=25120
cang ying 	蒼蠅	c=2 d=2.23739e-33 t=25120
cao 	艹	c=18 d=0.951229 t=25120
cao 	草	c=4 d=0.567315 t=25120
cao dan 	操蛋	c=2 d=2.00126e-15 t=25120
cao dian 	槽點	c=5 d=1.15742e-14 t=25120
cao ta ma 	艹他媽	c=1 d=7.67598e-07 t=25120
cao xin 	操心	c=1 d=4.39042e-52 t=25120
cao zuo xi tong 	操作系統	c=0 d=9.32999e-39 t=25120
cao zuo xi tong lan 	操作系統爛	c=1 d=9.37675e-38 t=25120
ce shi 	測試	c=10 d=0.123457 t=25120
ce shi ban 	測試版	c=1 d=2.83548e-26 t=25120
ce shi zhong 	測試中	c=1 d=1.20753e-42 t=25120
ce suo 	廁所	c=2 d=5.17027e-05 t=25120
ceng 	層	c=1 d=3.02849e-36 t=25120
ceng 	蹭	c=4 d=3.20756e-06 t=25120
ceng jing 	曾經	c=2 d=2.63458e-30 t=25120
ceng wang 	蹭網	c=7 d=3.11276e-06 t=25120
cha 	差	c=6 d=8.19009e-05 t=25120
cha 	插	c=5 d=7.50779e-08 t=25120
cha 	查	c=10 d=7.3765e-19 t=25120
cha bo 	插播	c=1 d=2.65885e-34 t=25120
cha bu duo 	差不多	c=2 d=1.79744e-16 t=25120
cha cao 	插槽	c=1 d=6.79272e-10 t=25120
cha cha 	查查	c=3 d=6.46143e-10 t=25120
cha dian 	差點	c=1 d=4.52196e-17 t=25120
cha jian 	插件	c=5 d=1.54707e-16 t=25120
cha ping 	差評	c=2 d=1.01753e-28 t=25120
cha qi 	插旗	c=1 d=7.32052e-08 t=25120
cha ru 	插入	c=1 d=2.96862e-07 t=25120
cha shang 	插上	c=1 d=3.61701e-37 t=25120
cha xun 	查詢	c=3 d=2.96499e-22 t=25120
cha zhao 	查找	c=1 d=3.93924e-41 t=25120
chai 	拆	c=2 d=2.62247e-19 t=25120
chai chuan 	拆穿	c=1 d=7.78353e-53 t=25120
chai diao 	拆掉	c=2 d=5.74242e-29 t=25120
chai ji 	拆機	c=2 d=1.32949e-27 t=25120
chai kai 	拆開	c=2 d=3.76014e-23 t=25120
chai tai 	拆臺	c=1 d=7.60065e-38 t=25120
chai wan 	柴灣	c=1 d=8.21269e-08 t=25120
chan 	產	c=0 d=2.31669e-32 t=25120
chan hui 	懺悔	c=0 d=1.85855e-28 t=25120
chan hui zhe 	懺悔者	c=1 d=1.86787e-27 t=25120
chan jian 	產檢	c=2 d=2.06507e-31 t=25120
chan liang 	產量	c=1 d=3.37259e-08 t=25120
chan pin 	產品	c=8 d=2.75483e-09 t=25120
chan pin xian 	產品線	c=1 d=1.6733e-27 t=25120
chan quan 	產權	c=2 d=3.73547e-19 t=25120
chan ye 	產業	c=1 d=8.63817e-14 t=25120
chang 	唱	c=1 d=1.28246e-15 t=25120
chang 	場	c=4 d=2.34096e-06 t=25120
chang 	廠	c=4 d=4.84572e-07 t=25120
chang 	長	c=3 d=2.00507e-08 t=25120
chang chang 	場場	c=1 d=8.32803e-25 t=25120
chang di 	場地	c=1 d=6.64215e-11 t=25120
chang jia 	長假	c=1 d=1.19595e-37 t=25120
chang jia qi 	長假期	c=1 d=9.93256e-39 t=25120
chang jing 	場景	c=1 d=1.20527e-20 t=25120
chang kuan 	長寬	c=2 d=3.40133e-40 t=25120
chang li 	常理	c=1 d=9.73423e-37 t=25120
chang mian 	場面	c=1 d=2.05507e-33 t=25120
chang nian 	常年	c=1 d=6.82422e-35 t=25120
chang ping 	常平	c=1 d=4.84309e-30 t=25120
chang ping 	昌平	c=1 d=6.56132e-14 t=25120
chang qi 	長期	c=2 d=1.14766e-32 t=25120
chang qi shua 	長期刷	c=1 d=1.15259e-53 t=25120
chang shang 	廠商	c=2 d=3.33041e-07 t=25120
chang shi 	嘗試	c=1 d=7.95075e-09 t=25120
chang shi 	常識	c=1 d=1.6185e-47 t=25120
chang shi jian 	長時間	c=1 d=2.54099e-30 t=25120
chang tu 	長途	c=3 d=0.0466538 t=25120
chang wei 	常委	c=1 d=1.22728e-27 t=25120
chang wen 	長文	c=1 d=8.48616e-11 t=25120
chang xiu 	長袖	c=0 d=4.38221e-31 t=25120
chang xiu shan 	長袖衫	c=1 d=4.40417e-30 t=25120
chang yuan 	長遠	c=1 d=1.57859e-18 t=25120
chang zi 	腸子	c=1 d=1.15106e-08 t=25120
chao 	吵	c=2 d=4.5516e-35 t=25120
chao 	抄	c=9 d=1.60181e-06 t=25120
chao 	朝	c=2 d=3.15218e-07 t=25120
chao 	潮	c=0 d=5.38219e-08 t=25120
chao 	炒	c=2 d=2.03289e-23 t=25120
chao 	超	c=5 d=6.71005e-13 t=25120
chao che 	超車	c=1 d=7.23142e-11 t=25120
chao di 	抄底	c=1 d=0.00126207 t=25120
chao ji 	超級	c=1 d=4.49107e-22 t=25120
chao ji ben 	超級本	c=2 d=2.03461e-24 t=25120
chao shan 	潮汕	c=1 d=0.000244817 t=25120
chao xi 	抄襲	c=1 d=1.88311e-05 t=25120
chao xing 	吵醒	c=1 d=4.41708e-35 t=25120
che 	車	c=4 d=1.50041e-08 t=25120
che di 	徹底	c=3 d=0.339892 t=25120
che fei 	車費	c=1 d=3.6084e-09 t=25120
che lun 	車輪	c=1 d=0.000139144 t=25120
che pai 	車牌	c=1 d=1.0664e-21 t=25120
che piao 	車票	c=1 d=4.9332e-41 t=25120
che zhan 	車站	c=1 d=7.37727e-40 t=25120
che zhu 	車主	c=0 d=0.0199888 t=25120
che zi 	車仔	c=4 d=2.50791e-15 t=25120
chen 	沉	c=1 d=1.07862e-08 t=25120
chen 	襯	c=1 d=8.97331e-50 t=25120
chen 	趁	c=1 d=1.13446e-43 t=25120
chen 	陳	c=2 d=1.56668e-15 t=25120
chen guan xi 	陳冠希	c=1 d=6.15363e-24 t=25120
chen mi 	沉迷	c=1 d=2.83066e-06 t=25120
chen shang 	陳上	c=1 d=2.84089e-19 t=25120
chen tuo 	襯托	c=1 d=4.65319e-30 t=25120
chen xi wen 	陳熙文	c=1 d=7.03347e-08 t=25120
chen zao 	趁早	c=2 d=8.15757e-17 t=25120
cheng 	城	c=3 d=2.86174e-13 t=25120
cheng 	成	c=8 d=0.00016918 t=25120
cheng 	撐	c=2 d=9.72595e-27 t=25120
cheng ba 	稱霸	c=1 d=1.48484e-33 t=25120
cheng ben 	成本	c=1 d=3.49272e-08 t=25120
cheng fen 	成份	c=1 d=2.35658e-26 t=25120
cheng gong 	成功	c=6 d=0.535031 t=25120
cheng hui wan 	城會玩	c=2 d=1.36952e-23 t=25120
cheng ji 	成績	c=1 d=1.99705e-49 t=25120
cheng jie 	懲戒	c=0 d=3.33608e-28 t=25120
cheng jie qi 	懲戒騎	c=1 d=3.35281e-27 t=25120
cheng jiu 	成就	c=4 d=3.54774e-11 t=25120
cheng le 	成了	c=1 d=0.00538036 t=25120
cheng li 	城裏	c=1 d=0.431711 t=25120
cheng nian 	成年	c=1 d=1.53454e-38 t=25120
cheng nian ren 	成年人	c=2 d=0.0706512 t=25120
cheng qu 	城區	c=1 d=4.92314e-17 t=25120
cheng ren 	承認	c=1 d=1.09433e-31 t=25120
cheng shi 	城市	c=4 d=2.51228e-14 t=25120
cheng shu 	成熟	c=1 d=1.74972e-23 t=25120
cheng tong 	城通	c=3 d=2.80964e-16 t=25120
cheng wei 	成爲	c=2 d=0.189191 t=25120
cheng xiang 	城鄉	c=0 d=1.15302e-29 t=25120
cheng xiang jie he bu 	城鄉結合部	c=1 d=1.1588e-28 t=25120
cheng xu 	程序	c=4 d=2.01556e-19 t=25120
cheng xu yuan 	程序員	c=11 d=0.075774 t=25120
cheng yi 	誠意	c=1 d=5.72962e-38 t=25120
cheng zhong cun 	城中村	c=2 d=1.2239e-24 t=25120
chi 	吃	c=11 d=0.0095616 t=25120
chi 	遲	c=4 d=0.582748 t=25120
chi chi 	吃吃	c=0 d=1.05324e-23 t=25120
chi chi chi 	吃吃吃	c=1 d=1.05852e-22 t=25120
chi dun 	吃頓	c=1 d=1.6163e-31 t=25120
chi dun hao de 	吃頓好的	c=1 d=5.97157e-53 t=25120
chi fan 	吃飯	c=4 d=3.84211e-12 t=25120
chi fei 	赤匪	c=1 d=6.44585e-11 t=25120
chi li 	吃力	c=1 d=5.67454e-41 t=25120
chi lun 	齒輪	c=1 d=5.34789e-20 t=25120
chi ren 	吃人	c=1 d=1.17144e-38 t=25120
chi sheng 	吃省	c=1 d=2.81109e-42 t=25120
chi xu 	持續	c=1 d=2.02833e-26 t=25120
chi zao 	吃棗	c=1 d=6.26833e-06 t=25120
chi zao 	遲早	c=1 d=2.16381e-22 t=25120
chong 	充	c=3 d=2.71187e-28 t=25120
chong 	蟲	c=2 d=1.08983e-12 t=25120
chong 	衝	c=5 d=1.49834 t=25120
chong dian 	充電	c=0 d=2.72903e-18 t=25120
chong dian zhuang 	充電樁	c=1 d=2.74271e-17 t=25120
chong dong 	蟲洞	c=4 d=1.09336e-23 t=25120
chong feng 	衝鋒	c=2 d=5.29828e-28 t=25120
chong liang 	沖涼	c=2 d=1.04483e-15 t=25120
chong qi 	重啓	c=2 d=3.12294e-15 t=25120
chong wen 	重溫	c=1 d=0.19205 t=25120
chong wu 	寵物	c=3 d=2.91482e-27 t=25120
chong xin 	重新	c=7 d=4.91586e-15 t=25120
chong zhi 	充值	c=1 d=2.22706e-08 t=25120
chou 	抽	c=3 d=1.26679e-28 t=25120
chou cha 	抽查	c=1 d=1.11431e-38 t=25120
chou dao 	抽到	c=1 d=8.14621e-30 t=25120
chou hen 	仇恨	c=1 d=3.29671e-05 t=25120
chou zhi 	抽紙	c=1 d=5.73175e-12 t=25120
chu 	出	c=24 d=0.00511467 t=25120
chu 	初	c=1 d=1.96123e-42 t=25120
chu 	處	c=1 d=1.32169e-46 t=25120
chu 	觸	c=2 d=7.6812e-15 t=25120
chu 	除	c=3 d=6.11773e-14 t=25120
chu cun 	儲存	c=1 d=4.26153e-25 t=25120
chu fa 	出發	c=1 d=1.87857e-06 t=25120
chu fei 	除非	c=6 d=0.00124328 t=25120
chu gao 	初稿	c=1 d=4.56649e-44 t=25120
chu gui 	出軌	c=1 d=1.9404e-34 t=25120
chu guo 	出國	c=1 d=1.73196e-50 t=25120
chu ju 	出局	c=2 d=1.00442e-11 t=25120
chu kong 	觸控	c=1 d=1.46095e-48 t=25120
chu kou 	出口	c=1 d=1.3343e-40 t=25120
chu lai 	出來	c=22 d=1.33049 t=25120
chu le 	出了	c=1 d=2.55546e-38 t=25120
chu le 	除了	c=2 d=1.63961e-23 t=25120
chu li 	出黎	c=2 d=1.12194e-50 t=25120
chu lian 	初戀	c=1 d=1.48945e-40 t=25120
chu mai 	出賣	c=1 d=0.185445 t=25120
chu men 	出門	c=4 d=3.54177e-25 t=25120
chu ming 	出名	c=1 d=4.09791e-35 t=25120
chu mo 	出沒	c=1 d=8.70366e-44 t=25120
chu nv zuo 	處女座	c=1 d=2.03496e-35 t=25120
chu qiu 	出球	c=1 d=8.76993e-45 t=25120
chu qu 	出去	c=10 d=1.37119e-08 t=25120
chu sheng 	出聲	c=2 d=1.13373e-06 t=25120
chu sheng ru si 	出生入死	c=1 d=1.01875e-42 t=25120
chu shi 	出屎	c=2 d=5.22029e-30 t=25120
chu shi 	出示	c=1 d=3.97342e-25 t=25120
chu shi 	廚師	c=1 d=6.24769e-26 t=25120
chu shou 	出售	c=1 d=4.14911e-34 t=25120
chu tou 	出頭	c=1 d=4.47226e-34 t=25120
chu wai 	出外	c=1 d=4.84639e-38 t=25120
chu wen ti 	出問題	c=1 d=1.14275e-11 t=25120
chu xian 	出現	c=2 d=5.78919e-50 t=25120
chu xian 	出線	c=1 d=1.46448e-47 t=25120
chu xiang 	出相	c=1 d=9.71902e-48 t=25120
chu xing 	出行	c=2 d=1.2161e-37 t=25120
chu zhan 	出站	c=1 d=3.72526e-31 t=25120
chu zhong 	初中	c=2 d=2.71607e-05 t=25120
chuai 	踹	c=1 d=0.0432828 t=25120
chuan 	傳	c=2 d=4.3327e-14 t=25120
chuan 	穿	c=3 d=1.55345e-35 t=25120
chuan 	船	c=4 d=0.0392704 t=25120
chuan bo 	傳播	c=1 d=2.99316e-45 t=25120
chuan dui 	船隊	c=1 d=0.0174224 t=25120
chuan guo 	穿過	c=1 d=5.84555e-08 t=25120
chuan jia bao 	傳家寶	c=2 d=4.57116e-25 t=25120
chuan kong 	傳控	c=2 d=1.81183e-11 t=25120
chuan kong 	穿控	c=1 d=8.72351e-12 t=25120
chuan le 	傳了	c=1 d=1.31488e-44 t=25120
chuan qiu 	傳球	c=1 d=6.74254e-11 t=25120
chuan shang 	船上	c=1 d=0.0280154 t=25120
chuan shu 	傳輸	c=2 d=3.62354e-28 t=25120
chuan shuo zhong 	傳說中	c=2 d=1.72608e-10 t=25120
chuan song 	傳送	c=0 d=0.00275983 t=25120
chuan song men 	傳送們	c=1 d=0.0277367 t=25120
chuan tong 	傳統	c=1 d=5.88887e-36 t=25120
chuan wen 	傳聞	c=3 d=5.73696e-07 t=25120
chuan xiao 	傳銷	c=2 d=0.492001 t=25120
chuan yue 	穿越	c=1 d=7.32301e-12 t=25120
chuan zhen ji 	傳真機	c=2 d=3.5671e-10 t=25120
chuan zhong 	傳中	c=1 d=3.22573e-43 t=25120
chuang 	創	c=1 d=4.92047e-40 t=25120
chuang 	牀	c=1 d=2.05402e-27 t=25120
chuang kou 	窗口	c=1 d=1.94847e-24 t=25120
chuang qian 	窗前	c=0 d=0.00596059 t=25120
chuang qian ming yue guang 	窗前明月光	c=1 d=0.0599047 t=25120
chuang shang 	牀上	c=1 d=1.42148e-20 t=25120
chuang shi ren 	創始人	c=1 d=3.01543e-44 t=25120
chuang xin 	創新	c=1 d=3.55408e-07 t=25120
chuang ye 	創業	c=9 d=0.142395 t=25120
chuang ye ban 	創業板	c=1 d=0.00272578 t=25120
chuang ye zhong 	創業中	c=1 d=7.44634e-32 t=25120
chui 	吹	c=5 d=1.18011e-06 t=25120
chui 	鎚	c=1 d=1.55376e-08 t=25120
chui diao 	吹掉	c=1 d=1.64777e-52 t=25120
chui diao 	垂釣	c=0 d=1.90068e-27 t=25120
chui diao weng 	垂釣翁	c=1 d=1.91021e-26 t=25120
chui feng 	吹風	c=1 d=1.14985e-25 t=25120
chui ji 	吹雞	c=1 d=3.21183e-51 t=25120
chui shui 	吹水	c=1 d=0.390628 t=25120
chun 	純	c=1 d=0.000285862 t=25120
chun cui 	純粹	c=3 d=5.65219e-24 t=25120
chun ji 	春季	c=1 d=1.93572e-35 t=25120
chun jing 	純淨	c=1 d=1.38879e-11 t=25120
chun qiu 	春秋	c=1 d=1.8139e-35 t=25120
chun ri 	春日	c=0 d=4.92466e-51 t=25120
chun shu 	純屬	c=1 d=1.34775e-11 t=25120
chun tian 	春天	c=1 d=1.96497e-35 t=25120
ci 	次	c=9 d=2.30301e-12 t=25120
ci 	此	c=1 d=2.09337e-15 t=25120
ci 	詞	c=1 d=6.66842e-28 t=25120
ci di 	此地	c=0 d=2.81597e-34 t=25120
ci di wu yin 	此地無銀	c=1 d=2.83009e-33 t=25120
ci hua 	此話	c=1 d=7.98057e-53 t=25120
ci hua 	磁化	c=1 d=1.11049e-27 t=25120
ci li 	磁力	c=1 d=5.29197e-14 t=25120
ci pan 	磁盤	c=1 d=2.9284e-23 t=25120
ci sha 	刺殺	c=0 d=0.0324653 t=25120
ci sha zei 	刺殺賊	c=1 d=0.32628 t=25120
ci shu 	次數	c=2 d=7.9906e-09 t=25120
ci tie 	此帖	c=1 d=2.01959e-34 t=25120
ci yu 	次於	c=1 d=3.87268e-17 t=25120
ci yuan 	次元	c=1 d=3.93937e-12 t=25120
ci zhi 	辭職	c=1 d=6.77611e-40 t=25120
cong 	從	c=23 d=1.31787 t=25120
cong ci 	從此	c=1 d=1.05798e-16 t=25120
cong hua 	從化	c=3 d=0.122457 t=25120
cong lai 	從來	c=7 d=4.72657e-11 t=25120
cong lin 	叢林	c=2 d=1.0451e-19 t=25120
cong shi 	從事	c=1 d=7.28749e-43 t=25120
cong xiao 	從小	c=1 d=5.29107e-12 t=25120
cong ye 	從業	c=1 d=8.72471e-43 t=25120
cu 	粗	c=1 d=7.28129e-33 t=25120
cu 	醋	c=0 d=1.0762e-12 t=25120
cu bao 	粗暴	c=3 d=0.287941 t=25120
cu cao 	粗糙	c=1 d=3.33438e-21 t=25120
cu xiao 	促銷	c=2 d=5.99353e-08 t=25120
cui 	崔	c=1 d=2.76115e-37 t=25120
cui 	脆	c=2 d=5.34179e-26 t=25120
cun 	存	c=1 d=0.302704 t=25120
cun 	寸	c=4 d=1.81736e-28 t=25120
cun 	村	c=2 d=1.41781e-19 t=25120
cun li 	村裏	c=1 d=1.5892e-38 t=25120
cun wu 	村屋	c=1 d=3.40174e-21 t=25120
cun zai 	存在	c=1 d=1.12612e-15 t=25120
cun zai guo 	存在過	c=1 d=1.6286e-32 t=25120
cuo 	錯	c=8 d=3.70096e-05 t=25120
cuo feng 	撮風	c=1 d=6.77496e-38 t=25120
cuo feng 	錯峯	c=2 d=2.40803e-37 t=25120
cuo guo 	錯過	c=1 d=0.000101039 t=25120
cuo le 	錯了	c=1 d=0.109701 t=25120
cuo shou bu ji 	措手不及	c=1 d=8.98612e-08 t=25120
da 	大	c=44 d=0.269691 t=25120
da 	打	c=28 d=1.46911 t=25120
da 	答	c=2 d=2.98229e-44 t=25120
da 	達	c=0 d=2.27282e-13 t=25120
da ai 	大礙	c=1 d=0.559898 t=25120
da an 	答案	c=9 d=1.29112e-06 t=25120
da ba 	大巴	c=4 d=1.19318e-10 t=25120
da ba 	大把	c=5 d=0.00132706 t=25120
da ba che 	大巴車	c=1 d=8.81118e-12 t=25120
da ba ren 	大把人	c=1 d=3.22738e-49 t=25120
da ban nian 	大半年	c=1 d=4.60532e-26 t=25120
da bao 	打包	c=1 d=8.29496e-37 t=25120
da bao jian 	大保健	c=1 d=9.71272e-11 t=25120
da bao zha 	大爆炸	c=1 d=0.767206 t=25120
da biao ge 	大表哥	c=1 d=3.47637e-41 t=25120
da bing 	大病	c=1 d=3.53083e-18 t=25120
da bing 	大餅	c=1 d=8.13236e-10 t=25120
da bo 	大伯	c=1 d=1.7903e-28 t=25120
da bo luo 	大菠蘿	c=2 d=1.58596e-14 t=25120
da bu fen 	大部分	c=4 d=1.01393e-20 t=25120
da bu guo 	打不過	c=1 d=6.06614e-32 t=25120
da chang 	大場	c=1 d=7.05288e-11 t=25120
da chang 	大廠	c=4 d=2.06045e-05 t=25120
da che 	打車	c=1 d=5.66278e-46 t=25120
da che 	搭車	c=2 d=4.08955e-11 t=25120
da cheng shi 	大城市	c=1 d=1.23725e-34 t=25120
da chong 	大沖	c=3 d=0.0642483 t=25120
da chu 	大廚	c=5 d=8.236e-13 t=25120
da chui 	大錘	c=1 d=1.4854e-08 t=25120
da cuo 	打錯	c=1 d=9.54179e-08 t=25120
da da 	大大	c=0 d=1.74788e-41 t=25120
da da 	打打	c=1 d=8.66348e-19 t=25120
da dan 	大膽	c=0 d=0.00623495 t=25120
da dao 	大道	c=0 d=9.50228e-19 t=25120
da dao zhong 	大道中	c=1 d=9.54991e-18 t=25120
da deng 	大燈	c=1 d=1.35239e-22 t=25120
da dian hua 	打電話	c=2 d=5.56501e-47 t=25120
da duan 	大段	c=1 d=4.95287e-29 t=25120
da duo 	大多	c=1 d=2.9133e-21 t=25120
da duo shu 	大多數	c=3 d=3.12454e-21 t=25120
da e 	大鱷	c=1 d=0.00127476 t=25120
da fa 	大法	c=10 d=0.00351752 t=25120
da fa 	大發	c=1 d=1.81643e-22 t=25120
da fa 	打法	c=3 d=0.00941925 t=25120
da fa lei ting 	大發雷霆	c=1 d=3.9489e-11 t=25120
da fa shi jian 	打發時間	c=1 d=6.22944e-21 t=25120
da fen 	大份	c=1 d=1.2924e-47 t=25120
da feng 	大風	c=4 d=1.07676 t=25120
da feng da yu 	大風大雨	c=1 d=0.970446 t=25120
da feng xian 	大奉先	c=1 d=1.40614e-10 t=25120
da gai 	大概	c=2 d=0.0372538 t=25120
da ge 	大哥	c=1 d=8.9167e-05 t=25120
da ge 	打嗝	c=1 d=5.12564e-50 t=25120
da gong 	打工	c=2 d=7.22627e-32 t=25120
da gong si 	大公司	c=1 d=0.120633 t=25120
da hai 	大海	c=3 d=5.26479e-12 t=25120
da hao 	大號	c=2 d=9.42085e-05 t=25120
da hou 	打後	c=1 d=3.39007e-10 t=25120
da ji 	打機	c=3 d=3.06746e-10 t=25120
da jia 	大家	c=4 d=0.0706208 t=25120
da jia 	打架	c=2 d=1.28577e-16 t=25120
da jiu 	打救	c=1 d=1.0093e-50 t=25120
da ju 	大局	c=1 d=0.0415857 t=25120
da jun 	大軍	c=1 d=0.0115047 t=25120
da kai 	打開	c=16 d=0.0676321 t=25120
da kai de 	打開的	c=1 d=0.0685631 t=25120
da kuai ren xin 	大快人心	c=1 d=0.000183188 t=25120
da lai 	達賴	c=3 d=9.5604e-37 t=25120
da li 	大理	c=1 d=0.098274 t=25120
da li shui shou 	大力水手	c=1 d=0.0977832 t=25120
da lu 	大陸	c=5 d=4.87581e-21 t=25120
da lu ban 	大陸版	c=1 d=2.00986e-36 t=25120
da ma 	大媽	c=2 d=4.53902e-27 t=25120
da ma 	大馬	c=0 d=7.03444e-40 t=25120
da ma 	打碼	c=2 d=1.71178e-28 t=25120
da ma lu 	大馬路	c=1 d=7.0697e-39 t=25120
da mai 	大賣	c=1 d=6.56669e-53 t=25120
da mai 	大麥	c=2 d=1.56155e-09 t=25120
da mai wang 	大麥網	c=1 d=1.56938e-08 t=25120
da mo 	大摩	c=1 d=1.62722e-22 t=25120
da nu 	大怒	c=1 d=1.11086e-31 t=25120
da ping 	大屏	c=1 d=1.29266e-20 t=25120
da po 	打破	c=1 d=2.42456e-37 t=25120
da qi 	大器	c=1 d=1.76917e-06 t=25120
da qing 	大清	c=1 d=6.85376e-27 t=25120
da re 	大熱	c=1 d=0.00479587 t=25120
da re tian 	大熱天	c=1 d=3.30637e-10 t=25120
da ren 	大人	c=2 d=9.00938e-10 t=25120
da sai 	大賽	c=2 d=2.9558e-07 t=25120
da san 	打傘	c=1 d=1.2536e-12 t=25120
da san miao 	大三喵	c=1 d=8.45075e-50 t=25120
da sao 	大嫂	c=2 d=1.97177e-31 t=25120
da sha qi 	大殺器	c=1 d=3.49807e-26 t=25120
da sheng 	大聖	c=3 d=3.24929e-05 t=25120
da shi 	大事	c=1 d=1.05996e-38 t=25120
da shi 	大師	c=4 d=3.13913e-17 t=25120
da shi guan 	大使館	c=1 d=1.00587e-10 t=25120
da shui 	大水	c=1 d=1.6132e-23 t=25120
da si 	大死	c=2 d=5.1119e-33 t=25120
da si 	打死	c=1 d=8.19428e-11 t=25120
da suan 	打算	c=1 d=4.27852e-13 t=25120
da tiao 	大跳	c=1 d=2.57185e-25 t=25120
da tui 	大腿	c=10 d=0.0661401 t=25120
da tun 	大臀	c=1 d=8.9471e-45 t=25120
da wan 	打完	c=2 d=0.408608 t=25120
da wei 	大衛	c=1 d=0.0652193 t=25120
da xiao bao gao 	打小報告	c=1 d=2.46455e-53 t=25120
da xin wen 	大新聞	c=5 d=1.81795e-05 t=25120
da xin xing 	大新興	c=1 d=4.25269e-30 t=25120
da xing 	大型	c=1 d=0.631284 t=25120
da xing 	打星	c=1 d=1.30632e-26 t=25120
da xing 	打醒	c=1 d=4.27997e-17 t=25120
da xue 	大學	c=2 d=0.00733572 t=25120
da xue cheng 	大學城	c=2 d=0.0387029 t=25120
da ye 	大爺	c=0 d=6.90125e-21 t=25120
da yin 	打印	c=2 d=2.39472e-09 t=25120
da yin ji 	打印機	c=1 d=3.53695e-09 t=25120
da ying 	大英	c=4 d=0.00427488 t=25120
da yu 	大雨	c=0 d=0.0965605 t=25120
da yuan 	大園	c=0 d=8.38546e-48 t=25120
da yuan lu 	大園路	c=1 d=8.42749e-47 t=25120
da yuan shuai 	大元帥	c=1 d=2.27754e-07 t=25120
da za 	打雜	c=2 d=3.46692e-09 t=25120
da zai bian 	大災變	c=1 d=5.74757e-15 t=25120
da zan 	大讚	c=1 d=1.60627e-46 t=25120
da zhan 	大戰	c=1 d=0.0893673 t=25120
da zhang 	打仗	c=1 d=1.36947e-52 t=25120
da zhang fu 	大丈夫	c=1 d=1 t=25120
da zhe 	打折	c=2 d=5.69813e-31 t=25120
da zhong 	大衆	c=2 d=7.66398e-18 t=25120
da zhong 	打腫	c=1 d=4.87068e-38 t=25120
da zhu 	答主	c=3 d=7.47349e-16 t=25120
da zi 	打字	c=1 d=5.47098e-23 t=25120
dai 	代	c=2 d=9.30741e-14 t=25120
dai 	帶	c=20 d=0.301117 t=25120
dai bu 	代步	c=1 d=9.66396e-40 t=25120
dai bu dong 	帶不動	c=1 d=5.99455e-10 t=25120
dai dong 	帶動	c=2 d=0.239309 t=25120
dai gong chang 	代工廠	c=1 d=1.89281e-36 t=25120
dai huai 	帶壞	c=1 d=5.97055e-51 t=25120
dai ke 	代課	c=1 d=2.38935e-12 t=25120
dai kuan 	帶寬	c=2 d=5.47674e-06 t=25120
dai kuan 	貸款	c=2 d=7.9084e-05 t=25120
dai lai 	帶來	c=1 d=9.3059e-37 t=25120
dai li 	代理	c=9 d=1.70594e-19 t=25120
dai ling 	帶領	c=1 d=0.169483 t=25120
dai ma 	代碼	c=4 d=1.96771e-22 t=25120
dai mao 	戴帽	c=1 d=1.79091e-32 t=25120
dai qu 	帶去	c=1 d=9.75444e-32 t=25120
dai ru 	帶入	c=1 d=9.39143e-27 t=25120
dai ti 	代替	c=1 d=4.2985e-09 t=25120
dai zhuang 	袋裝	c=1 d=1.27954e-47 t=25120
dai zuo 	代做	c=1 d=8.33823e-10 t=25120
dan 	丹	c=1 d=1.75515e-30 t=25120
dan 	但	c=9 d=0.00232445 t=25120
dan 	單	c=1 d=5.53443e-41 t=25120
dan bao 	擔保	c=1 d=6.429e-39 t=25120
dan che 	單車	c=1 d=8.62146e-50 t=25120
dan chu 	淡出	c=1 d=6.11337e-35 t=25120
dan dao 	單刀	c=1 d=6.20471e-33 t=25120
dan dao qiu 	單刀球	c=1 d=1.74307e-37 t=25120
dan ding 	淡定	c=4 d=0.00256704 t=25120
dan ding 	蛋定	c=1 d=1.00239e-28 t=25120
dan hang 	單行	c=6 d=0.321851 t=25120
dan ji 	單機	c=3 d=1.57823e-09 t=25120
dan mu 	彈幕	c=1 d=1.54838e-26 t=25120
dan qi 	氮氣	c=1 d=1.21337e-40 t=25120
